ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_GETTITO;DESCRIZIONE_GETTITO;IMPORTO_CORSI_PREACCADEMICI;IMPORTO_CORSI_SUP_VO;IMPORTO_CORSI_ACCADEMICI_NO;IMPORTO_CORSI_ACCADEMICI_NO_POST
2024-2025;041101041067;Accademie delle Belle Arti;;URBINO (PU);02a;Tasse per esami di ammissione ed esami finali;0;0;11967;0
2024-2025;041101041067;Accademie delle Belle Arti;;URBINO (PU);03a;Tassa regionale per il DSU versata all'Istituto;0;0;44800,5;0
2024-2025;041101041067;Accademie delle Belle Arti;;URBINO (PU);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;041101041067;Accademie delle Belle Arti;;URBINO (PU);04 ;Diritti di segreteria;0;0;11420;0
2024-2025;041101041067;Accademie delle Belle Arti;;URBINO (PU);05 ;Altro da studenti non costituenti gettito;0;0;2160;0
2024-2025;043101043023;Accademie delle Belle Arti;;MACERATA;01a;Tasse e contributi per iscrizione e frequenza;0;0;875366,5;0
2024-2025;043101043023;Accademie delle Belle Arti;;MACERATA;02a;Tasse per esami di ammissione ed esami finali;0;0;9240;0
2024-2025;043101043023;Accademie delle Belle Arti;;MACERATA;03a;Tassa regionale per il DSU versata all'Istituto;0;2940;140560;2940
2024-2025;043101043023;Accademie delle Belle Arti;;MACERATA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;043101043023;Accademie delle Belle Arti;;MACERATA;04 ;Diritti di segreteria;0;0;21878,45;0
2024-2025;043101043023;Accademie delle Belle Arti;;MACERATA;05 ;Altro da studenti non costituenti gettito;0;336;19184;336
2024-2025;045101045003;Accademie delle Belle Arti;;CARRARA;01a;Tasse e contributi per iscrizione e frequenza;0;0;1241551,13;0
2024-2025;045101045003;Accademie delle Belle Arti;;CARRARA;02a;Tasse per esami di ammissione ed esami finali;0;0;23373,22;0
2024-2025;045101045003;Accademie delle Belle Arti;;CARRARA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;045101045003;Accademie delle Belle Arti;;CARRARA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;130480;0
2024-2025;045101045003;Accademie delle Belle Arti;;CARRARA;04 ;Diritti di segreteria;0;0;7525;0
2024-2025;045101045003;Accademie delle Belle Arti;;CARRARA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;048101048017;Accademie delle Belle Arti;;FIRENZE;01a;Tasse e contributi per iscrizione e frequenza;0;0;2185264;0
2024-2025;048101048017;Accademie delle Belle Arti;;FIRENZE;02a;Tasse per esami di ammissione ed esami finali;0;0;77100;0
2024-2025;048101048017;Accademie delle Belle Arti;;FIRENZE;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;048101048017;Accademie delle Belle Arti;;FIRENZE;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;196560;0
2024-2025;048101048017;Accademie delle Belle Arti;;FIRENZE;04 ;Diritti di segreteria;0;0;31162,81;0
2024-2025;048101048017;Accademie delle Belle Arti;;FIRENZE;05 ;Altro da studenti non costituenti gettito;0;0;7072;0
2024-2025;054102054039;Accademie delle Belle Arti;Pietro Vannucci;PERUGIA;01a;Tasse e contributi per iscrizione e frequenza;0;0;654938,15;0
2024-2025;054102054039;Accademie delle Belle Arti;Pietro Vannucci;PERUGIA;02a;Tasse per esami di ammissione ed esami finali;0;0;22093,15;0
2024-2025;054102054039;Accademie delle Belle Arti;Pietro Vannucci;PERUGIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;054102054039;Accademie delle Belle Arti;Pietro Vannucci;PERUGIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;89610,7;0
2024-2025;054102054039;Accademie delle Belle Arti;Pietro Vannucci;PERUGIA;04 ;Diritti di segreteria;0;0;3500;0
2024-2025;054102054039;Accademie delle Belle Arti;Pietro Vannucci;PERUGIA;05 ;Altro da studenti non costituenti gettito;0;0;14864;0
2024-2025;058101058091;Accademie delle Belle Arti;;ROMA;01a;Tasse e contributi per iscrizione e frequenza;0;0;3521722;0
2024-2025;058101058091;Accademie delle Belle Arti;;ROMA;02a;Tasse per esami di ammissione ed esami finali;0;0;105485;0
2024-2025;058101058091;Accademie delle Belle Arti;;ROMA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;058101058091;Accademie delle Belle Arti;;ROMA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;058101058091;Accademie delle Belle Arti;;ROMA;04 ;Diritti di segreteria;0;0;41269;0
2024-2025;058101058091;Accademie delle Belle Arti;;ROMA;05 ;Altro da studenti non costituenti gettito;0;0;80666;0
2024-2025;060101060038;Accademie delle Belle Arti;;FROSINONE;01a;Tasse e contributi per iscrizione e frequenza;0;0;394059,38;0
2024-2025;060101060038;Accademie delle Belle Arti;;FROSINONE;02a;Tasse per esami di ammissione ed esami finali;0;0;7672,1;0
2024-2025;060101060038;Accademie delle Belle Arti;;FROSINONE;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;060101060038;Accademie delle Belle Arti;;FROSINONE;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;86520;0
2024-2025;060101060038;Accademie delle Belle Arti;;FROSINONE;04 ;Diritti di segreteria;0;0;0;0
