DATAFLOW,FREQ,CITTADINANZA,DURATA_DISOCCUPAZ,CLASSE_ETA,ITTER107,SESSO,TIPO_DATO,TITOLO_STUDIO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,11,2020,11.027374,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,11,2021,11.040393,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,11,2022,8.416502,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,11,2023,7.543261,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,11,2024,7.357386,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,13,2018,14.671619,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,13,2019,13.655733,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,13,2020,12.327947,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,13,2021,12.553068,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,13,2022,10.533413,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,13,2023,10.103539,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,13,2024,9.298482,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,7,2018,12.852473,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,7,2019,11.304031,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,7,2020,12.249101,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,7,2021,12.662349,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,7,2022,9.510159,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,7,2023,8.880556,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,7,2024,8.577722,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,99,2018,13.252425,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,99,2019,12.344602,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,99,2020,12.144566,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,99,2021,12.423418,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,99,2022,9.84786,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,99,2023,9.226899,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,99,2024,8.722796,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,1,UNEM_R,99,2018,10.022088,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,1,UNEM_R,99,2019,9.754256,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,1,UNEM_R,99,2020,9.337233,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,1,UNEM_R,99,2021,7.305449,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,1,UNEM_R,99,2022,6.446125,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,1,UNEM_R,99,2023,6.324094,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,1,UNEM_R,99,2024,5.952534,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,2,UNEM_R,99,2018,17.622067,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,2,UNEM_R,99,2019,15.910706,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,2,UNEM_R,99,2020,15.54394,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,2,UNEM_R,99,2021,14.877906,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,2,UNEM_R,99,2022,12.045794,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,2,UNEM_R,99,2023,12.675123,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,2,UNEM_R,99,2024,11.620238,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,11,2018,9.898593,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,11,2019,10.178609,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,11,2020,12.102164,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,11,2021,9.32823,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,11,2022,6.218158,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,11,2023,7.338459,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,11,2024,8.065463,,,,,,,,,
