"Indicator 5: Top-level policies and measures for monitoring and reaching out to non-enrolled youth, 2024/2025 - Policy description and references/links",Unnamed: 1,Unnamed: 2
RO,"The annual national report on education, chapters 1 and 5 cover the essential statistical indicators for national monitoring and reporting the rate of enrolled vs. not enrolled students for all levels of education.  This form of monitoring and reporting is constant and consistent from year to year and it supports the initiatives for reaching out the non-enrolled youth through targeted initiatives like research-based surveys, studies and support inititiatives.",https://www.edu.ro/sites/default/files/_fi%C8%99iere/Minister/2024/div/Rapoarte_sistem/Raport_Stare_invatamant_preuniv-2023-2024.pdf
SI,"PUM-o+ is a dynamic, project-based programme designed for young adults (ages 15-26) who have dropped out or failed to complete basic, lower, or upper secondary education. It also supports students at risk of dropping out and younger participants in the Adult Basic School programme. This initiative empowers vulnerable young people by helping them re-enter education or the job market, discover their talents, develop essential skills, and break free from the cycle of failure. The programme is implemented by the Ministry of Labour, Family, Social Affairs and Equal Opportunities, in collaboration with the Employment Service of the Republic of Slovenia and other external partners. It is co-financed by the European Social Fund as part of the European Cohesion Policy Programme 2021-2027.",https://www.gov.si/novice/2023-06-30-s-1-julijem-se-zacne-izvajati-program-projektno-ucenje-mlajsih-odraslih/
SK,:,:
FI,"Outreach youth work provides safe and confidential support for young people under 29, helping them access essential services, education, and employment opportunities. It is voluntary and focuses on empowerment, independence, and social participation. The Regional State Administrative Agency allocates over €50 million annually for youth-related initiatives, including One-Stop Guidance Centers, which offer free assistance on various life matters for those under 30. Workshop activities foster inclusion, skill development, and career readiness through multidisciplinary collaboration. Additionally, Save the Children Finland’s mentoring programme supports middle school students in their studies, fostering motivation, confidence, and learning success. The National Audit Office (VTV) has made efforts to identify, support, and reintegrate young people disengaged from work and education. Its January 2025 report reveals that 9% of 15–29-year-olds have been neither working nor studying in recent years, and in 2023, one in five 20–24-year-olds had only completed comprehensive school.","https://avi.fi/tietoa-meista/tehtavamme/opetus-ja-kulttuuri/nuorisotoimi/etsivanuorisotyo 
https://ohjaamot.fi/en/mika-on-ohjaamo 
https://www.intory.fi/tyopajatoiminta/
https://www.pelastakaalapset.fi/hae-tukea/mentorointi/ 
https://www.vtv.fi/en/publications/youth-not-in-employment-education-or-training-identification-outreach-and-rehabilitation/ 
"
SE,"Municipalities are responsible for identifying relevant local and civil society actors—such as schools, social services, and employment agencies—for collaboration in supporting young people. This cooperation should be outlined in an action plan with measurable goals and expected outcomes. Through  the municipal activity responsibility (KAA), municipalities must monitor and offer tailored support to individuals under 20 who are not in upper secondary education. These efforts, aimed at motivating youth to start or resume education, must be continuous, documented, and tracked in a municipal register.","https://www.skolverket.se/skolutveckling/leda-och-organisera-skolan/organisera-for-fortsatta-studier-och-arbetsliv/kommunernas-aktivitetsansvar--for-ungdomar 
https://www.skolverket.se/regler-och-ansvar/ansvar-i-skolfragor/kommunernas-aktivitetsansvar-for-ungdomar-kaa; "
AL,:,:
BA,:,:
IS,"As part of the government's action plan to reduce youth violence, a study and career counselor has been appointed to support and engage children who are not in education, employment, or training (NEET). Youth and community centers remain open to all children, with a particular focus on vulnerable groups. Additionally, the government has partially funded a traveling youth center aimed at reaching 12–16-year-olds who do not participate in extracurricular activities, exhibit negative communication patterns, engage in risky behavior, or face social challenges.","https://www.stjornarradid.is/library/01--Frettatengt---myndir-og-skrar/MRN/skyrsla-adgerdir-gegn-ofbeldi-medal-barna.pdf
https://www.stjornarradid.is/library/03-Verkefni/Menntamal/Skyrslur/aeskulydsstefna-mars-2022%20-%20Copy%20(1).pdf"
LI,:,:
ME,The Law on Vocational Education allows students who have started but not completed their education to continue as part-time students. These students attend preparatory (instructional-consultative) classes and take exams to progress in their studies. Schools provide guidance on education pathways and organize structured support to help students develop essential skills and successfully complete their education.,"https://www.gov.me/dokumenta/8490fc70-1946-4517-ab4e-40a66f787fad, capter VIII; https://www.gov.me/dokumenta/e5af4944-0a79-4c5c-9969-63136ef56c47, article 36"
NO,"The county authority is required to provide follow-up services for young people who are entitled to education and training under Section 5-1 of the Education Act (upper secondary education) and who are neither enrolled in education nor employed, as outlined in Section 9-4 of the Education Act. These services must be available until the end of the year in which the individual turns 24.






",https://lovdata.no/lov/2023-06-09-30/§9-4
RS,"Targeted measures for Roma students, who are the majority of non-enrolled youth, focus on increasing primary school enrollment to 90% and secondary school completion to 50% by 2030. These efforts include community outreach in collaboration with local authorities and ministries, as well as enforcing regulations to prevent the wrongful placement of Roma students in special education. Progress includes a rise in secondary school enrollment from 22% in 2014 to 28% in 2019, with an 85.4% primary school enrollment rate and a 7% reduction in dropout rates.","https://prosveta.gov.rs/wp-content/uploads/2021/11/1-SROVRS-2030_MASTER_0402_V1.pdf  
https://minljmpdd.gov.rs/wp-content/uploads/2024/04/Strategija-za-socijalno-ukljucivanje-Roma-i-Romkinja-2022-2030.pdf"
TR,"National policy outlines provisions for young people above the compulsory school age who require guidance to complete their education. It emphasises providing personalised support to help these individuals finish their schooling, with the aim of ensuring they have the necessary resources, advice, and opportunities. The guidance process includes regular monitoring and tailored educational pathways to encourage completion and facilitate further career or academic goals.",https://ogm.meb.gov.tr/meb_iys_dosyalar/2016_11/03111224_ooky.pdf
Source: Eurydice,,
