freq,territorio,ind_type,measure,ordinescol,gest_scuola,time_period,obs_value,year
A,IT108,CLSS,9,2,2,2010,193.0,2010
A,IT108,CLSS,9,2,2,2011,194.0,2011
A,IT108,CLSS,9,2,2,2012,195.0,2012
A,IT108,CLSS,9,2,2,2013,196.0,2013
A,IT108,CLSS,9,2,2,2014,196.0,2014
A,IT108,CLSS,9,2,9,2010,1932.0,2010
A,IT108,CLSS,9,2,9,2011,1945.0,2011
A,IT108,CLSS,9,2,9,2012,1936.0,2012
A,IT108,CLSS,9,2,9,2013,1944.0,2013
A,IT108,CLSS,9,2,9,2014,1955.0,2014
A,IT108,ENR,9,2,1,2010,35902.0,2010
A,IT108,ENR,9,2,1,2011,36388.0,2011
A,IT108,ENR,9,2,1,2012,36456.0,2012
A,IT108,ENR,9,2,1,2013,36947.0,2013
A,IT108,ENR,9,2,1,2014,37404.0,2014
A,IT108,ENR,9,2,1A,2010,35902.0,2010
A,IT108,ENR,9,2,1A,2011,36388.0,2011
A,IT108,ENR,9,2,1A,2012,36456.0,2012
A,IT108,ENR,9,2,1A,2013,36947.0,2013
A,IT108,ENR,9,2,1A,2014,37404.0,2014
A,IT108,ENR,9,2,2,2010,3961.0,2010
A,IT108,ENR,9,2,2,2011,4034.0,2011
A,IT108,ENR,9,2,2,2012,4151.0,2012
A,IT108,ENR,9,2,2,2013,4199.0,2013
A,IT108,ENR,9,2,2,2014,4151.0,2014
A,IT108,ENR,9,2,9,2010,39863.0,2010
A,IT108,ENR,9,2,9,2011,40422.0,2011
A,IT108,ENR,9,2,9,2012,40607.0,2012
A,IT108,ENR,9,2,9,2013,41146.0,2013
A,IT108,ENR,9,2,9,2014,41555.0,2014
A,IT108,ENR_F,9,2,1,2010,17452.0,2010
A,IT108,ENR_F,9,2,1,2011,17749.0,2011
A,IT108,ENR_F,9,2,1,2012,17783.0,2012
A,IT108,ENR_F,9,2,1,2013,17918.0,2013
A,IT108,ENR_F,9,2,1,2014,18123.0,2014
A,IT108,ENR_F,9,2,1A,2010,17452.0,2010
A,IT108,ENR_F,9,2,1A,2011,17749.0,2011
A,IT108,ENR_F,9,2,1A,2012,17783.0,2012
A,IT108,ENR_F,9,2,1A,2013,17918.0,2013
A,IT108,ENR_F,9,2,1A,2014,18123.0,2014
A,IT108,ENR_F,9,2,2,2010,1905.0,2010
A,IT108,ENR_F,9,2,2,2011,1955.0,2011
A,IT108,ENR_F,9,2,2,2012,2026.0,2012
A,IT108,ENR_F,9,2,2,2013,2043.0,2013
A,IT108,ENR_F,9,2,2,2014,2021.0,2014
A,IT108,ENR_F,9,2,9,2010,19357.0,2010
A,IT108,ENR_F,9,2,9,2011,19704.0,2011
A,IT108,ENR_F,9,2,9,2012,19809.0,2012
A,IT108,ENR_F,9,2,9,2013,19961.0,2013
A,IT108,ENR_F,9,2,9,2014,20144.0,2014
A,IT108,REP,9,2,1,2010,78.0,2010
A,IT108,REP,9,2,1,2011,67.0,2011
A,IT108,REP,9,2,1,2012,54.0,2012
A,IT108,REP,9,2,1,2013,58.0,2013
A,IT108,REP,9,2,1,2014,68.0,2014
A,IT108,REP,9,2,1A,2010,78.0,2010
A,IT108,REP,9,2,1A,2011,67.0,2011
A,IT108,REP,9,2,1A,2012,54.0,2012
A,IT108,REP,9,2,1A,2013,58.0,2013
A,IT108,REP,9,2,1A,2014,68.0,2014
A,IT108,REP,9,2,2,2010,1.0,2010
A,IT108,REP,9,2,2,2011,4.0,2011
A,IT108,REP,9,2,2,2012,3.0,2012
A,IT108,REP,9,2,2,2013,0.0,2013
A,IT108,REP,9,2,2,2014,1.0,2014
A,IT108,REP,9,2,9,2010,79.0,2010
A,IT108,REP,9,2,9,2011,71.0,2011
A,IT108,REP,9,2,9,2012,57.0,2012
A,IT108,REP,9,2,9,2013,58.0,2013
A,IT108,REP,9,2,9,2014,69.0,2014
A,IT108,REP_F,9,2,1,2010,33.0,2010
A,IT108,REP_F,9,2,1,2011,30.0,2011
A,IT108,REP_F,9,2,1,2012,16.0,2012
A,IT108,REP_F,9,2,1,2013,15.0,2013
A,IT108,REP_F,9,2,1,2014,31.0,2014
