DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/2024;01201;"Castellanza - Università ""Carlo Cattaneo""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;110
01/11/2024;01201;"Castellanza - Università ""Carlo Cattaneo""";03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01201;"Castellanza - Università ""Carlo Cattaneo""";03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01202;Varese - Università dell' Insubria;01 ;Mense;0;0
01/11/2024;01202;Varese - Università dell' Insubria;02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01202;Varese - Università dell' Insubria;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01202;Varese - Università dell' Insubria;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;01202;Varese - Università dell' Insubria;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01202;Varese - Università dell' Insubria;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01202;Varese - Università dell' Insubria;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;01202;Varese - Università dell' Insubria;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;01202;Varese - Università dell' Insubria;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;01202;Varese - Università dell' Insubria;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01202;Varese - Università dell' Insubria;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";01 ;Mense;0;0
01/11/2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
