antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'SCIENTIFICO', 'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO'})",frozenset({'LINGUISTICO'}),0.21220930232558138,0.42005813953488375,0.17950581395348839,0.8458904109589043,2.0137460302412666,1.0,0.09036556922660899,3.7631782945736476,0.6390187788517561,0.3964686998394864,0.734267174786281,0.6366130255486563
"frozenset({'SCIENZE UMANE - OPZ. ECONOMICO SOCIALE', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})","frozenset({'LINGUISTICO', 'SCIENTIFICO', 'SCIENZE UMANE'})",0.1933139534883721,0.2565406976744186,0.16351744186046513,0.8458646616541353,3.2971948284308503,1.0,0.11392454536235805,4.823418888258649,0.8636716716716717,0.5710659898477157,0.7926781763793649,0.741629214679759
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENTIFICO', 'SCIENZE UMANE'})","frozenset({'LINGUISTICO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})",0.18386627906976744,0.30886627906976744,0.1555232558139535,0.8458498023715415,2.738563124854685,1.0,0.09873316235127096,4.483508497316637,0.7778688592804653,0.46120689655172414,0.7769603870275932,0.6746896070681236
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENTIFICO', 'SCIENZE UMANE'})","frozenset({'LINGUISTICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",0.18386627906976744,0.25872093023255816,0.1555232558139535,0.8458498023715415,3.2693520451214635,1.0,0.10795320105462411,4.8088103756708405,0.8505089005584173,0.5417721518987342,0.7920483608463148,0.7234866989385798
"frozenset({'LINGUISTICO', 'SCIENTIFICO', 'INFOR. TELECOM. - BIENNIO COMUNE'})",frozenset({'SCIENZE UMANE'}),0.18386627906976744,0.3502906976744186,0.1555232558139535,0.8458498023715415,2.4147081495087988,1.0,0.0911166086398053,4.214780858676207,0.7178618686595483,0.41074856046065256,0.7627397405629096,0.644916602430584
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENTIFICO', 'SCIENZE UMANE'})","frozenset({'LINGUISTICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",0.18386627906976744,0.26308139534883723,0.1555232558139535,0.8458498023715415,3.2151638896774615,1.0,0.10715145855868036,4.780523255813954,0.8441923752298998,0.5336658354114713,0.7908178777743995,0.7185050116830083
"frozenset({'LINGUISTICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO', 'SCIENZE UMANE', 'SCIENTIFICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE'})",frozenset({'SISTEMI INFORMATIVI AZIENDALI'}),0.18386627906976744,0.31976744186046513,0.1555232558139535,0.8458498023715415,2.6452030183255477,1.0,0.09672880611141157,4.412790697674419,0.7620775459591714,0.4467640918580375,0.7733860342555995,0.6661067193675889
"frozenset({'INFORMATICA', 'SCIENTIFICO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})","frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'INFOR. TELECOM. - BIENNIO COMUNE'})",0.18386627906976744,0.21002906976744187,0.1555232558139535,0.8458498023715415,4.027298713021596,1.0,0.11690599225932936,5.124683214072749,0.9210434333935302,0.6524390243902438,0.8048659871786947,0.7931671157186426
"frozenset({'SCIENZE UMANE', 'CLASSICO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})","frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENTIFICO'})",0.18386627906976744,0.3495639534883721,0.1555232558139535,0.8458498023715415,2.419728332771811,1.0,0.09125023238912926,4.219495378652355,0.718914622880968,0.4115384615384616,0.7630048358248503,0.6453781236389932
"frozenset({'CLASSICO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})","frozenset({'LINGUISTICO', 'SCIENTIFICO'})",0.2543604651162791,0.36773255813953487,0.21511627906976744,0.8457142857142856,2.2998080180688873,1.0,0.12157965454299621,4.098029715762272,0.7579816658764028,0.5285714285714286,0.7559802955665024,0.7153472614342179
