1. Popolazione analizzata
Edilizia,"3,9","4,2","3,8"
Chimica/Energia,"5,5","4,0","6,0"
Altra industria manifatturiera,"4,4","0,8","5,7"
Totale industria,"18,8","9,5","22,1"
Commercio,"6,1","9,3","4,9"
"Credito, assicurazioni","4,0","2,7","4,4"
"Trasporti, pubblicità, comunicazioni","3,8","1,2","4,8"
Consulenze varie,"13,7","15,4","13,0"
Informatica,"4,4","0,4","5,9"
Altri servizi alle imprese,"2,4","1,1","2,9"
"Pubblica amministrazione, forze armate","4,5","6,5","3,8"
Istruzione e ricerca,"24,9","26,2","24,4"
Sanità,"10,7","26,1","5,1"
Altri servizi,"5,5","1,1","7,1"
Totale servizi,"79,9","90,0","76,3"
Ripartizione geografica di lavoro (%),,,
Nord-Ovest,"28,4","25,9","29,3"
Nord-Est,"21,5","20,3","21,9"
Centro,"22,4","22,9","22,3"
Sud,"16,0","19,5","14,7"
Isole,"7,0","9,0","6,2"
Estero,"4,6","2,3","5,5"

7. Retribuzione
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
"Retribuzione mensile netta (medie, in euro)",,,
Uomini,1.783,1.762,1.789
Donne,1.559,1.606,1.539
Totale,1.654,1.659,1.653
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)",1.636,1.657,1.627

8. Utilizzo e richiesta della laurea nell'attuale lavoro
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%),"58,5","67,9","56,6"
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,
Dal punto di vista economico,"13,8","12,5","14,1"
Nella posizione lavorativa,"29,6","38,0","27,6"
Nelle mansioni svolte,"10,2","8,6","10,6"
Nelle competenze professionali,"45,8","40,0","47,2"
Sotto altri punti di vista,"0,6","0,8","0,5"
Utilizzo delle competenze acquisite con la laurea (%),,,
In misura elevata,"61,3","75,9","56,1"
In misura ridotta,"32,6","21,2","36,7"
Per niente,"6,0","2,9","7,2"
Adeguatezza della formazione professionale acquisita all'università (%),,,
Molto adeguata,"67,1","71,6","65,5"
Poco adeguata,"27,7","24,5","28,9"
Per niente adeguata,"5,1","3,9","5,5"
Richiesta della laurea per l'attività lavorativa (%),,,
Richiesta per legge,"49,7","79,3","39,0"
Non richiesta ma necessaria,"21,7","10,4","25,8"
Non richiesta ma utile,"24,1","8,6","29,7"
Non richiesta né utile,"4,4","1,6","5,4"

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Efficacia della laurea nel lavoro svolto (%),,,
Molto efficace/Efficace,"71,6","88,8","65,4"
Abbastanza efficace,"22,1","8,9","26,9"
Poco/Per nulla efficace,"6,3","2,3","7,8"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)","7,8","7,9","7,8"
Occupati che cercano lavoro (%),"18,9","14,7","20,3"

