1. Popolazione analizzata
6. Caratteristiche dell'impresa
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Settore di attività (%),,,,
Pubblico,"26,1","18,3","52,9","25,5"
Privato,"68,8","75,2","46,1","69,6"
Non profit,"4,9","6,3","0,9","4,8"
Ramo di attività economica (%),,,,
Agricoltura,"1,1","1,3","0,2","1,2"
Metalmeccanica e meccanica di precisione,"4,5","3,2","0,4","6,9"
Edilizia,"2,9","2,1","3,3","3,4"
Chimica/Energia,"4,0","2,4","3,4","5,7"
Altra industria manifatturiera,"4,0","3,6","0,6","5,3"
Totale industria,"15,4","11,3","7,7","21,3"
Commercio,"10,9","16,0","10,3","6,5"
"Credito, assicurazioni","3,3","2,6","2,1","4,2"
"Trasporti, pubblicità, comunicazioni","4,3","5,0","0,8","4,8"
Consulenze varie,"11,2","7,9","15,0","13,1"
Informatica,"4,4","4,4","0,2","5,7"
Altri servizi alle imprese,"2,6","2,7","0,8","3,1"
"Pubblica amministrazione, forze armate","3,7","4,7","3,8","2,7"
Istruzione e ricerca,"17,5","8,5","28,1","22,5"
Sanità,"13,4","17,2","29,0","5,5"
Altri servizi,"11,8","18,0","1,9","9,0"
Totale servizi,"83,1","86,9","91,9","77,1"
Ripartizione geografica di lavoro (%),,,,
Nord-Ovest,"28,4","28,7","26,2","28,8"
Nord-Est,"22,2","23,1","20,4","21,8"
Centro,"21,8","20,6","23,4","22,5"
Sud,"16,8","17,1","19,4","15,7"
Isole,"6,8","7,4","8,9","5,6"
Estero,"3,8","2,7","1,6","5,4"

7. Retribuzione
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
"Retribuzione mensile netta (medie, in euro)",,,,
Uomini,1.536,1.403,1.672,1.613
Donne,1.323,1.207,1.466,1.385
Totale,1.410,1.285,1.532,1.487
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)",1.419,1.312,1.543,1.454

8. Utilizzo e richiesta della laurea nell'attuale lavoro
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%),"44,4","39,8","59,8","47,8"
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,,
Dal punto di vista economico,"14,1","13,2","14,9","14,8"
Nella posizione lavorativa,"26,1","23,9","34,1","26,9"
Nelle mansioni svolte,"10,6","11,1","9,3","10,2"
Nelle competenze professionali,"49,0","51,6","40,9","47,6"
Sotto altri punti di vista,"0,4","0,2","0,8","0,4"
Utilizzo delle competenze acquisite con la laurea (%),,,,
In misura elevata,"56,2","48,9","78,9","56,2"
In misura ridotta,"32,4","33,4","18,0","35,5"
Per niente,"11,3","17,5","2,9","8,1"
Adeguatezza della formazione professionale acquisita all'università (%),,,,
Molto adeguata,"62,1","54,9","73,1","65,5"
Poco adeguata,"28,2","29,9","23,4","28,1"
Per niente adeguata,"9,4","14,9","3,4","6,1"
Richiesta della laurea per l'attività lavorativa (%),,,,
Richiesta per legge,"39,7","33,6","80,9","33,3"
Non richiesta ma necessaria,"21,0","18,6","8,7","26,7"
Non richiesta ma utile,"29,3","31,9","8,3","32,9"
Non richiesta né utile,"9,9","15,6","2,0","7,0"

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Efficacia della laurea nel lavoro svolto (%),,,,
Molto efficace/Efficace,"63,5","55,4","90,3","63,1"
Abbastanza efficace,"23,8","24,9","6,9","27,5"
Poco/Per nulla efficace,"12,7","19,7","2,7","9,4"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)","7,7","7,7","7,9","7,7"
Occupati che cercano lavoro (%),"22,4","21,8","16,2","24,7"

